rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/learning_rate,train/std
506.4344699999999,24.0,53,4143,223232,109,226.5203332901001,0.9873086605221033,1.0,108,0.007528267335146666,0.058696918189525604,0.001,0.9664434194564819
509.1876,24.0,53,4180,225280,110,242.1793088912964,0.9868935020640492,1.0,109,0.007860738784074783,0.0756586343050003,0.001,0.959194540977478
511.89216,24.0,53,4217,227328,111,249.4310070991516,0.9860849734395742,1.0,110,0.00876904558390379,0.09425128251314163,0.001,0.9592584371566772
514.31549,24.0,53,4255,229376,112,235.82734146118165,0.9878998082131147,1.0,111,0.007367531768977642,0.0813295841217041,0.001,0.959560215473175
520.31681,24.0,53,4293,231424,113,211.5529577255249,0.9885926060378551,1.0,112,0.008318010717630386,0.05969850718975067,0.001,0.9571338295936584
529.12334,24.0,53,4330,233472,114,190.10386877059938,0.9897137079387903,1.0,113,0.00871906615793705,0.06458088010549545,0.001,0.9543094635009766
532.18496,24.0,53,4367,235520,115,192.16866092681886,0.9904596460983157,1.0,114,0.007147054187953472,0.06123948097229004,0.001,0.9478099346160889
535.0261399999999,24.0,53,4403,237568,116,195.10861043930055,0.9906197991222143,1.0,115,0.006533596199005842,0.05716739967465401,0.001,0.9477510452270508
540.6221800000001,24.0,53,4441,239616,117,212.1948070526123,0.9889648938551545,1.0,116,0.009382097981870174,0.05430625379085541,0.001,0.9455253481864929
550.8722399999999,24.0,53,4478,241664,118,202.63760204315184,0.9904234176501632,1.0,117,0.007750703487545252,0.06531059741973877,0.001,0.941371738910675
553.13425,24.0,53,4515,243712,119,201.8961820602417,0.9902629889547825,1.0,118,0.008557121269404888,0.05445653200149536,0.001,0.9419011473655701
559.79325,24.0,53,4553,245760,120,193.39974145889283,0.9907240299507976,1.0,119,0.00850763265043497,0.05399106442928314,0.001,0.9428796172142029
566.7842999999999,24.0,53,4590,247808,121,195.2171534538269,0.9908218644559383,1.0,120,0.009183966554701328,0.07004384696483612,0.001,0.9440488815307617
569.12362,24.0,53,4627,249856,122,204.2001277923584,0.9909281199797988,1.0,121,0.00911889411509037,0.06594672799110413,0.001,0.9403885006904602
577.6755100000001,24.0,54,4663,251904,123,209.64214811325073,0.9905206831172109,1.0,122,0.009002228267490864,0.06760882586240768,0.001,0.9385019540786743
580.12471,24.0,54,4701,253952,124,210.0162262916565,0.9904503570869565,1.0,123,0.007274747360497713,0.0574728325009346,0.001,0.9340932965278625
582.6540499999999,24.0,54,4738,256000,125,202.16414546966553,0.9909880915656686,1.0,124,0.008114838041365147,0.06235332041978836,0.001,0.9348333477973938
585.95826,24.0,54,4776,258048,126,211.72518367767333,0.9904460655525327,1.0,125,0.0077784089371562,0.0699516236782074,0.001,0.9354410171508789
588.9913900000001,24.0,54,4813,260096,127,200.57133693695067,0.9907100787386298,1.0,126,0.006534576881676912,0.03741834685206413,0.001,0.9378648400306702
590.2086599999999,24.0,54,4851,262144,128,195.39306449890137,0.991053631529212,1.0,127,0.008450196124613285,0.062006786465644836,0.001,0.9349111318588257
593.76807,24.0,54,4888,264192,129,187.97158222198487,0.9912545420229435,1.0,128,0.008137183263897896,0.06773781776428223,0.001,0.9387895464897156
595.02442,24.0,54,4925,266240,130,191.92544736862183,0.9914119374006987,1.0,129,0.007928470149636269,0.05183951184153557,0.001,0.9381668567657471
596.6351599999999,24.0,54,4963,268288,131,184.37186679840087,0.9915280127897859,1.0,130,0.007938503287732601,0.06847686320543289,0.001,0.9395883083343506
596.32131,24.0,54,4999,270336,132,187.52021312713623,0.9907002663239837,1.0,131,0.007724310737103224,0.0415494441986084,0.001,0.9391657114028931
595.92319,24.0,54,5037,272384,133,186.18750457763673,0.9915068950504065,1.0,132,0.009042576886713505,0.08441029489040375,0.001,0.9410991072654724
599.2003000000001,24.0,54,5074,274432,134,188.28936595916747,0.9916685158386827,1.0,133,0.008595325984060764,0.06893955916166306,0.001,0.9432647228240967
599.82205,24.0,54,5112,276480,135,186.6543610572815,0.9917084723711014,1.0,134,0.007053767330944538,0.0603150837123394,0.001,0.941284716129303
601.40895,24.0,54,5149,278528,136,184.18040924072267,0.9921187125146389,1.0,135,0.0066658612340688705,0.056331705302000046,0.001,0.9424974322319031
602.28571,24.0,54,5186,280576,137,179.25749177932738,0.991880021058023,1.0,136,0.008231482468545437,0.06801290810108185,0.001,0.9436342716217041
602.2684899999999,24.0,54,5223,282624,138,173.05157265663146,0.9921696232631803,1.0,137,0.006332432851195335,0.054493214935064316,0.001,0.9473744034767151
603.0772300000001,24.0,54,5260,284672,139,174.24413452148437,0.992195684928447,1.0,138,0.008199662901461124,0.06060303375124931,0.001,0.9456323981285095
601.75082,24.0,54,5298,286720,140,170.6055426120758,0.9926931541413069,1.0,139,0.0082556689158082,0.0661158487200737,0.001,0.9461323022842407
603.13921,24.0,54,5336,288768,141,175.85333933830262,0.9923392576165497,1.0,140,0.006767213344573975,0.05173972621560097,0.001,0.9477607607841492
603.71833,24.0,54,5375,290816,142,170.90236549377443,0.9924369449727237,1.0,141,0.007641155738383532,0.05776737630367279,0.001,0.9427515268325806
603.80621,24.0,54,5413,292864,143,170.1098536968231,0.9923281562514603,1.0,142,0.00804202351719141,0.0675681084394455,0.001,0.9379265308380127
604.41309,24.0,54,5450,294912,144,162.5885199546814,0.9926107116043568,1.0,143,0.008319446817040443,0.08126211911439896,0.001,0.9335561990737915
604.0297400000001,24.0,54,5487,296960,145,164.01962456703185,0.9926310363225639,1.0,144,0.008440583944320679,0.05152503773570061,0.001,0.9358371496200562
603.5983699999999,24.0,54,5525,299008,146,162.84375767707826,0.9926004325971007,1.0,145,0.009588735178112984,0.07282155752182007,0.001,0.9382143616676331
603.74311,24.0,54,5563,301056,147,170.87120246887207,0.9925696873106062,1.0,146,0.006983926519751549,0.07596316933631897,0.001,0.9394531846046448
603.70989,24.0,54,5600,303104,148,172.9674659252167,0.9926091274246573,1.0,147,0.008249279111623764,0.07253395020961761,0.001,0.9362037777900696
603.9430199999999,24.0,54,5638,305152,149,159.56564979553224,0.9926320635713637,1.0,148,0.008259180001914501,0.09139132499694824,0.001,0.9383472204208374
604.4390400000001,24.0,54,5676,307200,150,162.04850053787231,0.9927452863194048,1.0,149,0.00835935678333044,0.07273830473423004,0.001,0.9422815442085266
604.3306799999999,24.0,54,5713,309248,151,164.1032039642334,0.992669525090605,1.0,150,0.008429724723100662,0.06768617033958435,0.001,0.9444442987442017
604.74326,24.0,54,5750,311296,152,161.91920008659363,0.9927106858231127,1.0,151,0.008848280645906925,0.06987228244543076,0.001,0.9458723068237305
604.7872600000001,24.0,54,5787,313344,153,162.87672572135926,0.9924348625354469,1.0,152,0.008818978443741798,0.057361796498298645,0.001,0.9434705972671509
604.3876400000001,24.0,54,5825,315392,154,166.55959601402282,0.9927655360661447,1.0,153,0.00803026370704174,0.06466590613126755,0.001,0.9434471130371094
604.52415,24.0,54,5863,317440,155,161.75428619384766,0.9929205379448831,1.0,154,0.007455967832356691,0.05328843742609024,0.001,0.9441308379173279
604.3017399999999,24.0,54,5900,319488,156,154.38245100975035,0.9932946977205575,1.0,155,0.008046047762036324,0.06063491851091385,0.001,0.9408897757530212
604.69572,24.0,54,5937,321536,157,153.8112648487091,0.9934498057700694,1.0,156,0.009040073491632938,0.07556997984647751,0.001,0.9391414523124695
604.49611,24.0,54,5974,323584,158,148.15736169815062,0.9934905711561441,1.0,157,0.007492117118090391,0.06894244998693466,0.001,0.9383342266082764
