time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss
1879,50,-489.61886000000004,102400,24.0,54,0.092041015625,-15.395853331685066,0.9844849109649658,0.0003,0.008516643,490,0.2,20479.7122467041,0.0459827184677124,10439.861328125,-0.009439821308478712
1918,51,-487.1736099999999,104448,24.0,54,0.096728515625,-15.407726719975471,0.9848173260688782,0.0003,0.0077694966,500,0.2,19926.16304321289,0.08070391416549683,10762.060546875,-0.005318209994584322
1957,52,-486.62643,106496,24.0,54,0.074267578125,-15.419359174370765,0.9860700368881226,0.0003,0.011220798,510,0.2,19558.765829467775,0.09100306034088135,9748.046875,-0.0027287141972919928
1998,53,-479.88625,108544,24.0,54,0.12294921875,-15.420312049984933,0.9847964644432068,0.0003,0.01492228,520,0.2,19289.659881591797,0.09527486562728882,9237.8662109375,-0.004240084115008358
2037,54,-477.97798,110592,24.0,54,0.121826171875,-15.40087628364563,0.9832624793052673,0.0003,0.0105814915,530,0.2,18237.4323059082,0.09564977884292603,9360.955078125,-0.005632021215569693
2075,55,-479.71706000000006,112640,24.0,54,0.1150390625,-15.39538049697876,0.9835660457611084,0.0003,0.009596922,540,0.2,17322.893444824218,0.14649826288223267,8781.021484375,-0.0014247575163608417
2114,56,-472.7940899999999,114688,24.0,54,0.0828125,-15.38562413752079,0.9817379117012024,0.0003,0.0077515654,550,0.2,17468.344244384767,0.17589133977890015,6954.9560546875,-0.0045970651131938215
2152,57,-464.87062,116736,24.0,54,0.107861328125,-15.391752046346664,0.9846788048744202,0.0003,0.014082256,560,0.2,16193.551638793946,0.1948973536491394,8463.91796875,-0.002744698285823688
2192,58,-469.42612,118784,24.0,54,0.094140625,-15.4061759442091,0.9835190176963806,0.0003,0.007910872,570,0.2,15469.735549926758,0.20360803604125977,8582.8701171875,-0.006470760743832215
2230,59,-469.19901,120832,24.0,54,0.104931640625,-15.376269662380219,0.9801170825958252,0.0003,0.009649275,580,0.2,15883.468859863282,0.19898974895477295,8293.8564453125,-0.006300417386228219
2268,60,-466.6867,122880,24.0,54,0.104052734375,-15.365824154019355,0.9814882874488831,0.0003,0.012426902,590,0.2,15408.914984130859,0.2021750807762146,8128.93603515625,-0.0037062570336274803
2306,61,-461.90981,124928,24.0,54,0.135400390625,-15.372160169482232,0.981509804725647,0.0003,0.009155134,600,0.2,15166.43173828125,0.20855337381362915,6379.32958984375,-0.004552782872633543
2344,62,-458.65561,126976,24.0,54,0.0732421875,-15.365095728635788,0.9803566336631775,0.0003,0.009060774,610,0.2,14269.004153442384,0.23553186655044556,6796.919921875,-0.002959226901293732
2382,63,-454.29286,129024,24.0,54,0.164111328125,-15.356482946872712,0.9797353744506836,0.0003,0.009225652,620,0.2,13662.044259643555,0.2538425326347351,6798.94970703125,0.002806067107303534
2420,64,-449.88782,131072,24.0,54,0.114013671875,-15.363341787457466,0.9813230037689209,0.0003,0.011179532,630,0.2,13369.952282714843,0.2520632743835449,6827.080078125,-0.0007004983512160834
2458,65,-445.1268,133120,24.0,54,0.121533203125,-15.368326976895332,0.9807118773460388,0.0003,0.008171778,640,0.2,12755.957321166992,0.2539331316947937,6727.91455078125,-0.003142998641123995
2496,66,-445.71083999999996,135168,24.0,54,0.083251953125,-15.362455052137374,0.9804158806800842,0.0003,0.010133779,650,0.2,11696.725468444823,0.3082335591316223,5729.6572265625,-0.004191692004678771
2533,67,-446.21021,137216,24.0,54,0.103076171875,-15.352856987714768,0.979236364364624,0.0003,0.008182161,660,0.2,11263.781958007812,0.34877610206604004,5752.39501953125,-0.0073225802705565
2571,68,-437.96338,139264,24.0,54,0.10654296875,-15.334089264273643,0.9775970578193665,0.0003,0.011247319,670,0.2,11079.99511566162,0.3584691286087036,6094.87744140625,-0.0026334586669690906
2610,69,-431.8995199999999,141312,24.0,54,0.08349609375,-15.330060887336732,0.978152871131897,0.0003,0.008398517,680,0.2,10387.407221984864,0.36336368322372437,4992.19970703125,-0.0013604853869765066
2650,70,-427.65533000000016,143360,24.0,54,0.0875,-15.323400923609734,0.9766803979873657,0.0003,0.007396849,690,0.2,9891.994691467286,0.37910670042037964,4182.11572265625,-0.0027076160986325704
2689,71,-427.04414,145408,24.0,54,0.0880859375,-15.315534618496894,0.9765363335609436,0.0003,0.011641119,700,0.2,9755.020045471192,0.36744117736816406,5548.31689453125,-0.0045523252920247614
2728,72,-420.43238999999994,147456,24.0,54,0.103173828125,-15.295971098542214,0.9741153120994568,0.0003,0.00871965,710,0.2,9458.545211791992,0.3812404274940491,4757.310546875,-0.00020839708740822972
2767,73,-413.43363,149504,24.0,54,0.127978515625,-15.291650447249413,0.9756311774253845,0.0003,0.011866685,720,0.2,8498.580787658691,0.4345533847808838,4519.3818359375,-0.0009964153141481802
2806,74,-403.67106,151552,24.0,54,0.075244140625,-15.302312833070754,0.9763333797454834,0.0003,0.009838331,730,0.2,8118.420310974121,0.437685489654541,4145.6025390625,-0.003293376404326409
