train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
16799,0.0007,0,-17.86476898,24,1579,84000,3267.457764,-886.0519409,16800,-185.61391,1.232553363,53
16899,0.0007,0,-17.89014244,24,1589,84500,752.3111572,-500.1971741,16900,-193.50019,1.234259129,53
16999,0.0007,0.22947067,-17.86562538,24,1599,85000,66.26721954,-121.2046509,17000,-200.35253,1.231928825,53
17099,0.0007,0.961662117,-17.89701462,24,1608,85500,33.7095871,17.91491127,17100,-216.00468,1.234846473,53
17199,0.0007,-0.696915865,-17.91277695,24,1618,86000,83421.67188,3327.558105,17200,-236.30021,1.236763477,53
17299,0.0007,0.179465294,-17.90327835,24,1627,86500,6985.262695,-1269.028931,17300,-262.8944,1.235794187,53
17399,0.0007,0.001116812,-17.9365654,24,1637,87000,4883.310547,-1068.750854,17400,-290.93039,1.23976326,53
17499,0.0007,0,-17.95748138,24,1646,87500,2639.192139,-881.6799927,17500,-316.8999,1.241601467,53
17599,0.0007,0,-17.99214172,24,1656,88000,1458.306641,-608.0302734,17600,-327.97743,1.246264458,53
17699,0.0007,0.87903697,-18.04125977,24,1665,88500,81.2618866,8.148500443,17700,-341.16012,1.251816154,53
17799,0.0007,-0.487385869,-18.07348251,24,1675,89000,85148.51563,3021.777344,17800,-349.25298,1.255267382,53
17899,0.0007,0.284988225,-18.0722599,24,1684,89500,7273.806152,-1299.59668,17900,-348.00568,1.25545156,53
17999,0.0007,4.68E-05,-18.08142662,24,1694,90000,5209.020508,-1172.333618,18000,-345.70254,1.256524444,53
18099,0.0007,0,-18.07859421,24,1704,90500,2847.664307,-848.8409424,18100,-338.13927,1.256251097,53
18199,0.0007,0,-18.07364273,24,1713,91000,274.545166,-287.638031,18200,-317.25433,1.25530231,53
18299,0.0007,0.959347829,-18.11449051,24,1723,91500,76.13544464,125.4141388,18300,-295.49099,1.260017395,53
18399,0.0007,-0.466400385,-18.143116,24,1732,92000,91459.25,3739.71167,18400,-290.26051,1.263227582,53
18499,0.0007,0.55098176,-18.1486969,24,1742,92500,7250.88916,-1435.187988,18500,-299.52082,1.264190316,53
18599,0.0007,0.003709376,-18.17980003,24,1751,93000,4404.165039,-1100.279053,18600,-294.93933,1.267947793,53
18699,0.0007,-1.19E-07,-18.20278168,24,1761,93500,395.5219421,-351.802063,18700,-286.98043,1.270356417,53
18799,0.0007,0.051097035,-18.24389648,24,1770,94000,43.92330933,-105.9319916,18800,-273.46278,1.275408626,53
18899,0.0007,0.768356815,-18.25222778,24,1780,94500,222.8365479,-131.2732849,18900,-238.91718,1.276174545,53
18999,0.0007,-0.170514464,-18.23417091,24,1789,95000,85017.91406,3872.230957,19000,-199.41614,1.273761749,53
19099,0.0007,0.152354896,-18.2474041,24,1799,95500,4213.895508,-1018.097473,19100,-185.04377,1.274967313,53
19199,0.0007,0.829093754,-18.23830414,24,1809,96000,284.2084656,-220.4283142,19200,-182.70034,1.273801923,53
