train/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/delta_std,train/step_size,train/learning_rate,time/fps,rollout/return_std
280,107904,614.5225,24,1947,0.05,5.30E-05,0.02,55,47.19491959
281,108288,593.4459375,24,1954,0.05,1.76E-05,0.02,55,141.9756927
282,108672,628.92125,24,1961,0.05,0.000358439,0.02,55,6.974683285
283,109056,631.872625,24,1967,0.05,0.000727235,0.02,55,3.437679291
284,109440,631.585,24,1974,0.05,0.000588858,0.02,55,4.245507717
285,109824,517.823125,24,1981,0.05,8.08E-06,0.02,55,309.3252563
286,110208,630.438,24,1988,0.05,0.000633126,0.02,55,3.948658228
287,110592,628.8728125,24,1995,0.05,0.000344117,0.02,55,7.264969349
288,110976,513.9019375,24,2002,0.05,5.40E-06,0.02,55,463.1071777
289,111360,622.18275,24,2009,0.05,0.000141302,0.02,55,17.69262314
290,111744,628.7005625,24,2016,0.05,0.00047179,0.02,55,5.298967838
291,112128,629.337125,24,2023,0.05,0.000421443,0.02,55,5.932001591
292,112512,628.213125,24,2030,0.05,0.000322781,0.02,55,7.745194435
293,112896,617.4679375,24,2037,0.05,4.52E-05,0.02,55,55.28420639
294,113280,631.9853125,24,2043,0.05,0.000677969,0.02,55,3.687486172
295,113664,630.071125,24,2050,0.05,0.000291908,0.02,55,8.564346313
296,114048,603.46275,24,2057,0.05,2.19E-05,0.02,55,114.0551987
297,114432,618.37075,24,2064,0.05,4.95E-05,0.02,55,50.48282623
298,114816,632.69125,24,2071,0.05,0.000795507,0.02,55,3.14265132
299,115200,632.7148125,24,2078,0.05,0.00046165,0.02,55,5.415352345
300,115584,634.068125,24,2085,0.05,0.000817793,0.02,55,3.057008743
301,115968,619.479375,24,2092,0.05,5.08E-05,0.02,55,49.23505783
302,116352,631.586375,24,2099,0.05,0.000426857,0.02,55,5.85676384
303,116736,631.534375,24,2106,0.05,0.000428625,0.02,55,5.832607269
304,117120,634.5336875,24,2113,0.05,0.00044637,0.02,55,5.600739956
305,117504,634.6734375,24,2120,0.05,0.001052757,0.02,55,2.374716759
306,117888,615.9940625,24,2127,0.05,5.12E-05,0.02,55,48.82226944
307,118272,632.874375,24,2134,0.05,0.00038657,0.02,55,6.467129707
308,118656,632.3403125,24,2141,0.05,0.000540302,0.02,55,4.627044678
309,119040,631.2246875,24,2148,0.05,0.000353106,0.02,55,7.080025673
310,119424,631.689625,24,2155,0.05,0.000531028,0.02,55,4.707845211
311,119808,633.37575,24,2162,0.05,0.000675121,0.02,55,3.703039646
312,120192,632.702,24,2169,0.05,0.00062586,0.02,55,3.994500637
313,120576,572.57,24,2176,0.05,1.04E-05,0.02,55,240.3714447
314,120960,632.4984375,24,2182,0.05,0.000516674,0.02,55,4.838641167
315,121344,632.116875,24,2189,0.05,0.000546647,0.02,55,4.573331833
316,121728,630.729125,24,2196,0.05,0.000339894,0.02,55,7.35522747
317,122112,633.2665,24,2203,0.05,0.000592165,0.02,55,4.221798897
318,122496,633.4953125,24,2210,0.05,0.000649401,0.02,55,3.849699259
319,122880,632.3310625,24,2217,0.05,0.000492435,0.02,55,5.076807022
320,123264,633.404375,24,2224,0.05,0.000587734,0.02,55,4.253627777
321,123648,635.49225,24,2231,0.05,0.000630239,0.02,55,3.966750622
322,124032,634.4425,24,2238,0.05,0.000555667,0.02,55,4.499094486
323,124416,635.9028125,24,2245,0.05,0.000662268,0.02,55,3.774908543
324,124800,571.7455625,24,2252,0.05,9.84E-06,0.02,55,254.1556854
325,125184,635.82125,24,2259,0.05,0.000840612,0.02,55,2.974022627
326,125568,632.7375,24,2266,0.05,0.000378713,0.02,55,6.601305008
327,125952,632.21425,24,2273,0.05,0.000337644,0.02,55,7.404247284
328,126336,635.21575,24,2280,0.05,0.000807262,0.02,55,3.096889257
329,126720,633.72875,24,2286,0.05,0.000499846,0.02,55,5.001542568
330,127104,635.2011875,24,2293,0.05,0.000682245,0.02,55,3.664372206
331,127488,535.37125,24,2300,0.05,9.04E-06,0.02,55,276.6156616
332,127872,621.66875,24,2307,0.05,5.01E-05,0.02,55,49.93052673
333,128256,635.123125,24,2314,0.05,0.000670157,0.02,55,3.730470181
334,128640,630.93,24,2321,0.05,0.000243388,0.02,55,10.27168083
335,129024,630.2933125,24,2328,0.05,0.000154987,0.02,55,16.13041687
336,129408,629.444625,24,2335,0.05,0.000134785,0.02,55,18.54810143
337,129792,635.6201875,24,2342,0.05,0.00106462,0.02,55,2.348255157
338,130176,634.4010625,24,2349,0.05,0.000583079,0.02,55,4.287585735
