time/total_timesteps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/policy_loss,train/value_loss,train/n_updates,train/explained_variance,train/std,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
56500,0.0007,-17.695032119750977,715,-1852.64453125,12813.271484375,11299,4.76837158203125e-06,1.2114559412002563,79,-437.40191,24.0,11300
57000,0.0007,-17.7163028717041,721,-1691.585205078125,9028.57421875,11399,2.205371856689453e-06,1.213418960571289,79,-431.50565,24.0,11400
57500,0.0007,-17.713703155517578,727,-1088.9510498046875,4862.08447265625,11499,0.0,1.2139841318130493,79,-416.02232000000004,24.0,11500
58000,0.0007,-17.74173927307129,733,-713.640869140625,2024.829345703125,11599,0.0,1.2170871496200562,79,-399.79785000000004,24.0,11600
58500,0.0007,-17.753454208374023,740,-290.89483642578125,334.47381591796875,11699,0.8807954415678978,1.2181010246276855,79,-390.91279,24.0,11700
59000,0.0007,-17.748685836791992,746,1703.3277587890625,36428.359375,11799,-0.22810542583465576,1.217549443244934,79,-388.8592,24.0,11800
59500,0.0007,-17.74053192138672,752,-1328.4730224609375,5789.88134765625,11899,0.7230062782764435,1.21705961227417,79,-379.8065000000001,24.0,11900
60000,0.0007,-17.77449607849121,759,-1237.8841552734375,6338.45654296875,11999,0.0020700693130493164,1.2210596799850464,79,-376.07481,24.0,12000
60500,0.0007,-17.822961807250977,765,-1066.079833984375,3524.89208984375,12099,1.3172626495361328e-05,1.2261368036270142,79,-376.11755000000005,24.0,12100
61000,0.0007,-17.90059471130371,772,-410.06951904296875,519.4313354492188,12199,0.0,1.234998345375061,78,-360.61539999999985,24.0,12200
61500,0.0007,-17.90638542175293,778,-140.23770141601562,82.80958557128906,12299,0.9662594310939312,1.2356994152069092,78,-335.46062,24.0,12300
62000,0.0007,-17.926616668701172,785,1919.373779296875,33610.1640625,12399,0.00483471155166626,1.2378432750701904,78,-326.3542,24.0,12400
62500,0.0007,-17.959619522094727,791,-1268.0145263671875,4961.6279296875,12499,0.00406569242477417,1.241981029510498,78,-313.45596,24.0,12500
63000,0.0007,-17.95219612121582,797,-430.5821228027344,880.8098754882812,12599,0.5484531223773956,1.2413783073425293,78,-288.92749000000003,24.0,12600
63500,0.0007,-17.96356964111328,804,535.0550537109375,1059.79296875,12699,0.5852378308773041,1.2426683902740479,78,-280.52979,24.0,12700
64000,0.0007,-17.967666625976562,810,-239.1923370361328,251.50314331054688,12799,0.0,1.2429389953613281,78,-265.44174999999996,24.0,12800
64500,0.0007,-17.996444702148438,817,180.62576293945312,166.6184539794922,12899,0.880905844271183,1.2460366487503052,78,-240.5781,24.0,12900
65000,0.0007,-18.011682510375977,823,2228.99755859375,38029.0078125,12999,0.003551781177520752,1.2474242448806763,78,-222.13666999999995,24.0,13000
