train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
2.0915820641675964e-05,161,590.14,52,119.52674102783203,62208,1182,0.05,24.0,0.02
0.00022030636318959296,162,616.2983125,52,11.347833633422852,62592,1189,0.05,24.0,0.02
0.00026488423463888466,163,621.94525,52,9.438084602355957,62976,1197,0.05,24.0,0.02
0.0002279147010995075,164,611.64625,52,10.969015121459961,63360,1204,0.05,24.0,0.02
1.28935971588362e-05,165,557.4100625,52,193.89468383789062,63744,1211,0.05,24.0,0.02
0.0002861397806555033,166,615.847125,52,8.736988067626953,64128,1219,0.05,24.0,0.02
0.0005509826587513089,167,620.3863749999999,52,4.537347793579102,64512,1226,0.05,24.0,0.02
0.0001931218575919047,168,618.0685625000001,52,12.945194244384766,64896,1233,0.05,24.0,0.02
0.000407581334002316,169,621.5778124999999,52,6.133745193481445,65280,1241,0.05,24.0,0.02
0.0004219521943014115,170,621.3286249999999,52,5.92484188079834,65664,1248,0.05,24.0,0.02
0.0003198289778083563,171,620.1295625,52,7.816677093505859,66048,1256,0.05,24.0,0.02
0.00047238884144462645,172,622.7379375,52,5.292250156402588,66432,1263,0.05,24.0,0.02
0.00023510090250056237,173,621.6100624999999,52,10.633731842041016,66816,1271,0.05,24.0,0.02
0.0004043169319629669,174,622.6195625,52,6.183268070220947,67200,1278,0.05,24.0,0.02
0.00028904396458528936,175,617.060125,52,8.649203300476074,67584,1286,0.05,24.0,0.02
6.087554993428057e-06,176,467.80575,52,410.67388916015625,67968,1293,0.05,24.0,0.02
0.0001994193735299632,177,618.6821875,52,12.536395072937012,68352,1301,0.05,24.0,0.02
1.6083977243397385e-05,178,583.1978750000001,52,155.43418884277344,68736,1308,0.05,24.0,0.02
1.853591311373748e-05,179,587.5870625,52,134.87330627441406,69120,1315,0.05,24.0,0.02
0.00017618315177969635,180,616.3471875,52,14.189778327941895,69504,1322,0.05,24.0,0.02
0.0003086809301748872,181,624.2906874999999,52,8.098978042602539,69888,1330,0.05,24.0,0.02
0.00021628329704981297,182,621.6991875000001,52,11.558914184570312,70272,1337,0.05,24.0,0.02
0.0002839521039277315,183,620.66725,52,8.804301261901855,70656,1344,0.05,24.0,0.02
0.0001481060462538153,184,616.7370000000001,52,16.879796981811523,71040,1352,0.05,24.0,0.02
0.00021139565797057003,185,620.63225,52,11.826165199279785,71424,1359,0.05,24.0,0.02
0.0003111058322247118,186,622.2090000000001,52,8.035850524902344,71808,1366,0.05,24.0,0.02
0.00029798239120282233,187,622.2514375,52,8.38975715637207,72192,1373,0.05,24.0,0.02
8.724918188818265e-06,188,521.6409375,52,286.53564453125,72576,1381,0.05,24.0,0.02
3.843570993922185e-06,189,464.33506249999994,52,650.4368286132812,72960,1388,0.05,24.0,0.02
0.0003699298540595919,190,624.4113124999999,52,6.758037567138672,73344,1395,0.05,24.0,0.02
0.00019502428767737,191,624.1060625,52,12.818916320800781,73728,1403,0.05,24.0,0.02
7.228530648717424e-06,192,536.795,52,345.85174560546875,74112,1410,0.05,24.0,0.02
0.00018838663527276367,193,620.8878749999999,52,13.27057933807373,74496,1418,0.05,24.0,0.02
1.3019141988479532e-05,194,573.8971875,52,192.02493286132812,74880,1425,0.05,24.0,0.02
1.524788785900455e-05,195,579.8064374999999,52,163.95713806152344,75264,1432,0.05,24.0,0.02
