time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates
22,784,-3962.688759999999,823,24.0,18816,121237.78125,-0.09673914313316345,2105.166015625,1.5813969373703003,0.0003,18715
22,788,-3941.75551,828,24.0,18912,291942.6875,-0.031690359115600586,2222.71337890625,1.5757572650909424,0.0003,18811
22,792,-3933.99966,833,24.0,19008,103848.25,-0.6688119173049927,2498.96875,1.5801969766616821,0.0003,18907
22,796,-3926.8988099999992,837,24.0,19104,146086.25,-0.29545873403549194,1957.34814453125,1.5822349786758423,0.0003,19003
22,800,-3895.58134,842,24.0,19200,60656.25,0.16962957382202148,1906.7523193359375,1.582894206047058,0.0003,19099
22,804,-3866.90782,846,24.0,19296,288373.25,0.36500489711761475,2015.1953125,1.575075626373291,0.0003,19195
22,808,-3865.559819999999,850,24.0,19392,51753.5078125,0.21154873073101044,2135.89453125,1.5750093460083008,0.0003,19291
22,812,-3872.78474,854,24.0,19488,91042.9609375,0.06346412748098373,2183.29248046875,1.5703355073928833,0.0003,19387
22,816,-3863.43994,859,24.0,19584,386874.5,-0.34592702984809875,2110.298095703125,1.560235619544983,0.0003,19483
22,820,-3892.3793800000003,863,24.0,19680,78706.8046875,-0.10370965301990509,2306.228271484375,1.562730073928833,0.0003,19579
22,824,-3888.2084600000007,867,24.0,19776,1400411.75,-0.6239909529685974,2194.337890625,1.5559159517288208,0.0003,19675
22,828,-3888.85026,872,24.0,19872,368791.875,0.007672170177102089,2015.965576171875,1.5579900741577148,0.0003,19771
22,832,-3900.4871199999993,877,24.0,19968,166785.0,0.26604217290878296,1973.106201171875,1.5587126016616821,0.0003,19867
22,836,-3904.4805899999997,881,24.0,20064,39745.640625,-0.2190776914358139,2307.2509765625,1.5612906217575073,0.0003,19963
22,840,-3924.7661099999996,886,24.0,20160,60762.265625,-0.4996870756149292,2075.425048828125,1.5569860935211182,0.0003,20059
22,844,-3922.94674,890,24.0,20256,57128.88671875,-0.16530857980251312,1954.4134521484375,1.547974944114685,0.0003,20155
22,848,-3926.18624,894,24.0,20352,76575.390625,-0.10061245411634445,2588.58349609375,1.5497486591339111,0.0003,20251
22,852,-3930.18896,900,24.0,20448,605634.625,-0.06779053807258606,2317.49755859375,1.5451010465621948,0.0003,20347
22,856,-3919.6193100000005,904,24.0,20544,48116.74609375,-0.17535702884197235,2243.77197265625,1.5406910181045532,0.0003,20443
22,860,-3937.303339999999,909,24.0,20640,205055.53125,-0.4804001748561859,2010.470703125,1.536544919013977,0.0003,20539
22,864,-3927.75419,914,24.0,20736,34843.8671875,0.1286933273077011,2091.1845703125,1.532233715057373,0.0003,20635
22,868,-3908.5175000000004,918,24.0,20832,156096.21875,0.10013474524021149,2185.155517578125,1.5273081064224243,0.0003,20731
22,872,-3916.0523800000005,923,24.0,20928,57285.328125,0.3060554265975952,2459.68701171875,1.5170117616653442,0.0003,20827
22,876,-3936.0025000000005,927,24.0,21024,78905.90625,0.09463614225387573,2197.097412109375,1.5119645595550537,0.0003,20923
22,880,-3925.22876,931,24.0,21120,50869.734375,0.5108602643013,2050.370849609375,1.504136323928833,0.0003,21019
22,884,-3951.2131099999997,935,24.0,21216,69926.9453125,0.5139661431312561,1996.2613525390625,1.5030735731124878,0.0003,21115
22,888,-3947.812459999999,940,24.0,21312,56728.53125,-0.1993432343006134,2182.87890625,1.49294912815094,0.0003,21211
