train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
0.0001283515157410875,19.477758407592773,973,0.05,52992,54,24.0,0.02,590.8475000000001,137
0.00022064005315769464,11.330671310424805,980,0.05,53376,54,24.0,0.02,595.9911875,138
0.00021820259280502796,11.457242012023926,987,0.05,53760,54,24.0,0.02,599.881,139
0.0003224474494345486,7.753201007843018,994,0.05,54144,54,24.0,0.02,594.806,140
0.00016393671103287488,15.249787330627441,1001,0.05,54528,54,24.0,0.02,591.67675,141
0.00020062558178324252,12.461023330688477,1009,0.05,54912,54,24.0,0.02,599.0801875,142
2.06674485525582e-05,120.96316528320312,1015,0.05,55296,54,24.0,0.02,565.800125,143
0.0003794711665250361,6.588115692138672,1022,0.05,55680,54,24.0,0.02,601.017,144
0.00011996013927273452,20.840255737304688,1029,0.05,56064,54,24.0,0.02,591.7866875,145
6.323365232674405e-05,39.53590774536133,1036,0.05,56448,54,24.0,0.02,586.2760625,146
0.00019675855583045632,12.705926895141602,1043,0.05,56832,54,24.0,0.02,593.5603125,147
1.3668974133906886e-05,182.89593505859375,1050,0.05,57216,54,24.0,0.02,555.1900625,148
0.00024202745407819748,10.32940673828125,1057,0.05,57600,54,24.0,0.02,598.6244375,149
0.00027880878769792616,8.966718673706055,1064,0.05,57984,54,24.0,0.02,599.763375,150
0.00026307121152058244,9.503129959106445,1071,0.05,58368,54,24.0,0.02,598.7394375,151
5.974639861960895e-06,418.4352722167969,1078,0.05,58752,54,24.0,0.02,494.4678125,152
0.00014121385174803436,17.703645706176758,1086,0.05,59136,54,24.0,0.02,596.0228125,153
0.00034248357405886054,7.299619674682617,1093,0.05,59520,54,24.0,0.02,600.8145000000001,154
0.00030456448439508677,8.208441734313965,1100,0.05,59904,54,24.0,0.02,602.1198750000001,155
0.0005435599596239626,4.599308490753174,1107,0.05,60288,54,24.0,0.02,604.407375,156
0.00012752413749694824,19.6041316986084,1114,0.05,60672,54,24.0,0.02,596.56425,157
0.0002370588917983696,10.545902252197266,1121,0.05,61056,54,24.0,0.02,599.662375,158
0.0007655808003619313,3.2654941082000732,1128,0.05,61440,54,24.0,0.02,605.67975,159
0.0003775089862756431,6.622358798980713,1135,0.05,61824,54,24.0,0.02,603.4970625000001,160
0.0008527322788722813,2.9317522048950195,1142,0.05,62208,54,24.0,0.02,604.7988124999999,161
0.00035609494079835713,7.020599365234375,1149,0.05,62592,54,24.0,0.02,604.1321875,162
0.00022130725847091526,11.29651165008545,1156,0.05,62976,54,24.0,0.02,602.1031875000001,163
0.0003689441073220223,6.77609395980835,1163,0.05,63360,54,24.0,0.02,603.5734375,164
0.00030451768543571234,8.20970344543457,1171,0.05,63744,54,24.0,0.02,606.5970625,165
0.00023941445397213101,10.442142486572266,1178,0.05,64128,54,24.0,0.02,603.9471874999999,166
1.3768610187980812e-05,181.5724334716797,1186,0.05,64512,54,24.0,0.02,539.1984375,167
0.00025015437859110534,9.993827819824219,1193,0.05,64896,54,24.0,0.02,601.3575625000001,168
0.0002553847152739763,9.789152145385742,1200,0.05,65280,54,24.0,0.02,599.5679375,169
0.0005247049848549068,4.76458215713501,1208,0.05,65664,54,24.0,0.02,604.4354375,170
0.0002023281849687919,12.356163024902344,1215,0.05,66048,54,24.0,0.02,603.25025,171
0.0003233205061405897,7.732265472412109,1222,0.05,66432,54,24.0,0.02,604.8517499999999,172
0.00018928037025034428,13.207919120788574,1229,0.05,66816,54,24.0,0.02,602.293375,173
0.0005051793996244669,4.948736667633057,1236,0.05,67200,54,24.0,0.02,607.2739375,174
0.00032369382097385824,7.723348140716553,1243,0.05,67584,54,24.0,0.02,604.0710624999999,175
