time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/std,train/loss,train/entropy_loss
4242,111,-161.55712,53,24.0,227328,0.8773682862520218,0.017377641,-0.01979210373974638,521.6479208469391,0.2248046875,1100,0.2,0.0003,0.9244524240493774,166.4551239013672,-14.703601858019828
4280,112,-149.23799000000002,53,24.0,229376,0.889517642557621,0.0111513855,-0.010336179805744906,439.2321876049042,0.146337890625,1110,0.2,0.0003,0.9236025214195251,242.92457580566406,-14.7003803730011
4318,113,-135.60858,53,24.0,231424,0.8892049491405487,0.01880408,-0.0156922414447763,377.20018301010134,0.216455078125,1120,0.2,0.0003,0.9213468432426453,174.79559326171875,-14.684391295909881
4356,114,-121.71165,53,24.0,233472,0.8796843811869621,0.015240293,-0.016882388718659058,431.10710244178773,0.189794921875,1130,0.2,0.0003,0.920586347579956,118.57276916503906,-14.66609202325344
4395,115,-108.22132000000003,53,24.0,235520,0.8639991283416748,0.014874532,-0.016522137698484585,438.94573550224305,0.210546875,1140,0.2,0.0003,0.9173557162284851,233.7882843017578,-14.643928733468055
4433,116,-96.26849999999996,53,24.0,237568,0.8500791639089584,0.01653438,-0.0144175586377969,475.7283209323883,0.188525390625,1150,0.2,0.0003,0.9146467447280884,200.69912719726562,-14.606786075234414
4472,117,-81.46051,53,24.0,239616,0.7977742850780487,0.018046739,-0.021250425023026764,543.2428350448608,0.24228515625,1160,0.2,0.0003,0.9159126281738281,211.24424743652344,-14.597486928105354
4511,118,-66.95459000000001,53,24.0,241664,0.7425901293754578,0.021146376,-0.008996861224295572,502.0664809703827,0.2107421875,1170,0.2,0.0003,0.9117223620414734,191.29832458496094,-14.580772507190705
4549,119,-54.89196,53,24.0,243712,0.7598757743835449,0.014936236,-0.014526661068521208,511.3356950759888,0.194873046875,1180,0.2,0.0003,0.9099470376968384,321.2887268066406,-14.541802230477334
4588,120,-47.209709999999994,53,24.0,245760,0.7385556101799011,0.021687869,-0.012576567222276935,545.6727550745011,0.203076171875,1190,0.2,0.0003,0.9091396331787109,56.78162384033203,-14.530054032802582
4627,121,-44.03269,53,24.0,247808,0.7109447717666626,0.014673453,-0.009508505970006808,540.4508598327636,0.221044921875,1200,0.2,0.0003,0.9092276096343994,275.3543701171875,-14.527760365605355
4665,122,-35.9891,53,24.0,249856,0.7252997159957886,0.019083764,-0.012675960148044396,526.7362768650055,0.207080078125,1210,0.2,0.0003,0.9049078226089478,118.53278350830078,-14.502123069763183
4703,123,-28.406859999999998,53,24.0,251904,0.7047601044178009,0.020010328,-0.01599032282247208,519.4443585634232,0.234765625,1220,0.2,0.0003,0.9072608351707458,382.86041259765625,-14.496181422472
4742,124,-21.13995999999999,53,24.0,253952,0.6984774768352509,0.017525498,-0.012509440755820833,518.8487553596497,0.22724609375,1230,0.2,0.0003,0.9068565368652344,196.7127227783203,-14.502686601877212
4781,125,-6.837529999999999,53,24.0,256000,0.6691606342792511,0.020966595,-0.016468869635718874,564.251593875885,0.25166015625,1240,0.2,0.0003,0.9053322076797485,229.97930908203125,-14.490182107686996
4819,126,3.4763599999999997,53,24.0,258048,0.6386680901050568,0.021311771,-0.010747039988928009,575.0091979026795,0.220361328125,1250,0.2,0.0003,0.9059356451034546,385.0591125488281,-14.478888523578643
4858,127,11.084839999999996,53,24.0,260096,0.6149939000606537,0.021543134,-0.002611767515190877,547.6947395324707,0.247900390625,1260,0.2,0.0003,0.9049813747406006,216.6178741455078,-14.480460265278817
4896,128,16.99658,53,24.0,262144,0.6535515487194061,0.019783687,-0.013442195826064563,498.0454999923706,0.216845703125,1270,0.2,0.0003,0.9072748422622681,151.3496551513672,-14.486219754815101
4934,129,29.55879,53,24.0,264192,0.6467305719852448,0.021361113,-0.007939620880642905,513.0039593696595,0.202978515625,1280,0.2,0.0003,0.9103372097015381,213.02003479003906,-14.51713169515133
4972,130,37.45250000000001,53,24.0,266240,0.6301568150520325,0.021195497,-0.010116758047661278,530.6137831687927,0.216748046875,1290,0.2,0.0003,0.9102049469947815,169.48974609375,-14.531481704115867
5012,131,48.40357000000001,53,24.0,268288,0.623178243637085,0.022583736,-0.011409653464215807,574.5858259677887,0.24228515625,1300,0.2,0.0003,0.9068225622177124,332.8562316894531,-14.510923743247986
