time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/entropy_loss
4790,53,126,258048,47.90965,24,0.0003,0.248388672,270.6189165,0.863241971,0.864800081,-0.011706725,1250,146.7986603,0.2,0.033192843,-13.9739068
4831,53,127,260096,53.47908,24,0.0003,0.163623047,282.19554,0.861380219,0.867784441,-0.006798101,1260,146.2497559,0.2,0.012038163,-13.93975937
4871,53,128,262144,57.00593,24,0.0003,0.225976563,303.0684362,0.862548769,0.863228172,-0.013507026,1270,99.27067566,0.2,0.01290209,-13.93205208
4911,53,129,264192,63.62227,24,0.0003,0.191210938,284.4179508,0.863958597,0.871019483,-0.010790248,1280,116.2713928,0.2,0.01957925,-13.95884519
4950,53,130,266240,69.20171,24,0.0003,0.175048828,279.1323267,0.863645315,0.88365005,-0.009829753,1290,102.3827133,0.2,0.014327986,-13.95839044
4989,53,131,268288,73.29188,24,0.0003,0.190234375,299.0379638,0.865238726,0.877428889,-0.011012906,1300,197.4511871,0.2,0.016384935,-13.96716861
5029,53,132,270336,78.78896,24,0.0003,0.183447266,296.854618,0.861505449,0.881108508,-0.006959788,1310,124.0922012,0.2,0.012111153,-13.95100212
5069,53,133,272384,82.85041,24,0.0003,0.243115234,301.9290811,0.861904085,0.882589981,-0.004356461,1320,188.3106842,0.2,0.02343767,-13.93005533
5108,53,134,274432,84.30906,24,0.0003,0.175048828,275.8289913,0.865124643,0.897734605,-0.009384912,1330,171.6492462,0.2,0.013039777,-13.94924408
5148,53,135,276480,87.64113,24,0.0003,0.185498047,263.1300439,0.863414049,0.906250715,-0.009161731,1340,151.09552,0.2,0.014499432,-13.95815592
5187,53,136,278528,90.96048,24,0.0003,0.223876953,253.4354735,0.862805367,0.912918814,-0.008147118,1350,131.4269714,0.2,0.023709629,-13.94323338
5225,53,137,280576,91.59615,24,0.0003,0.198486328,239.1138512,0.864982545,0.924279682,-0.004812966,1360,102.3910904,0.2,0.01804289,-13.95581951
5266,53,138,282624,94.48945,24,0.0003,0.209228516,232.3795579,0.864340723,0.928486913,-0.011010852,1370,51.85251999,0.2,0.01747403,-13.97264664
5305,53,139,284672,98.46499,24,0.0003,0.212402344,195.761086,0.864649355,0.937669713,-0.007235539,1380,53.32749939,0.2,0.024157392,-13.96932902
5344,53,140,286720,101.42211,24,0.0003,0.152050781,188.5560812,0.8650828,0.94559256,-0.007261602,1390,70.46659088,0.2,0.019578414,-13.97479819
5383,53,141,288768,103.34162,24,0.0003,0.187695313,188.6320067,0.865862906,0.950507432,-0.011343362,1400,86.25987244,0.2,0.019984698,-13.98273021
5422,53,142,290816,107.28615,24,0.0003,0.157226563,173.0630635,0.865241051,0.955708101,-0.008103522,1410,62.41038895,0.2,0.013657099,-13.98477252
5460,53,143,292864,111.60968,24,0.0003,0.197949219,185.1872775,0.864519119,0.954973206,-0.002777032,1420,72.32918549,0.2,0.06280383,-13.97152233
5498,53,144,294912,114.20319,24,0.0003,0.177783203,176.9566118,0.863672078,0.958437908,-0.0033215,1430,79.92286682,0.2,0.01603412,-13.96502387
5535,53,145,296960,114.92514,24,0.0003,0.168554688,171.0954546,0.864056826,0.961412478,-0.007493532,1440,52.85528564,0.2,0.014903951,-13.96587314
5574,53,146,299008,118.74949,24,0.0003,0.148730469,158.095295,0.865642309,0.964040857,-0.001807375,1450,107.1640472,0.2,0.017269759,-13.97675062
5612,53,147,301056,122.42485,24,0.0003,0.164160156,162.3604002,0.865691125,0.963605493,-0.009018053,1460,45.57401657,0.2,0.020986244,-13.98284309
5651,53,148,303104,124.40701,24,0.0003,0.146044922,152.6529792,0.866649389,0.967084814,-0.004309116,1470,43.92893982,0.2,0.012527211,-13.99126857
5688,53,149,305152,128.85228,24,0.0003,0.181640625,157.3805108,0.866476595,0.9673739,-0.012622569,1480,67.46593475,0.2,0.025828253,-13.99563496
5727,53,150,307200,129.41926,24,0.0003,0.335644531,148.2896556,0.867060065,0.970385423,0.031786485,1490,79.8015976,0.2,0.72856957,-13.99901987
5766,53,151,309248,130.71312,24,0.0003,0.164794922,154.6035667,0.868416846,0.966406919,-0.012513229,1500,82.71253204,0.2,0.011140512,-14.01140165
5804,53,152,311296,136.2204,24,0.0003,0.160205078,152.5725315,0.864658415,0.970073273,-0.007425699,1510,62.49900436,0.2,0.012760231,-13.99825485
5843,53,153,313344,138.16681,24,0.0003,0.140039063,143.2996736,0.864358306,0.970358189,-0.008564333,1520,68.42098999,0.2,0.02536799,-13.96871091
5881,53,154,315392,140.87793,24,0.0003,0.160595703,147.2028393,0.866411388,0.972794026,-0.006717037,1530,83.48107147,0.2,0.017662238,-13.97955318
5920,53,155,317440,145.06636,24,0.0003,0.163671875,142.2655071,0.869572639,0.974264083,-0.007264345,1540,60.23950577,0.2,0.051675595,-14.01629283
5958,53,156,319488,147.63225,24,0.0003,0.161181641,143.9909432,0.871487617,0.974304771,-0.004995488,1550,82.73111725,0.2,0.019646175,-14.04987686
5997,53,157,321536,152.04005,24,0.0003,0.160205078,151.1499566,0.871142924,0.974900549,-0.009322002,1560,69.74520874,0.2,0.014599331,-14.06304739
6035,53,158,323584,154.32043,24,0.0003,0.146582031,153.1995911,0.87085253,0.974492637,-0.008263193,1570,70.46365356,0.2,0.019290153,-14.05319382
6073,53,159,325632,155.29984,24,0.0003,0.167431641,146.6461828,0.871195555,0.976896262,-0.005117059,1580,73.04171753,0.2,0.015616952,-14.05257491
6112,53,160,327680,159.53077,24,0.0003,0.141894531,137.0558866,0.87376827,0.978263954,-0.003644601,1590,71.85984802,0.2,0.019978464,-14.07055818
6151,53,161,329728,161.50746,24,0.0003,0.15390625,148.121997,0.876973152,0.977497153,-0.008725531,1600,65.95393372,0.2,0.014283134,-14.10396765
6190,53,162,331776,165.72766,24,0.0003,0.161621094,139.8831067,0.875884473,0.977267621,-0.005814904,1610,73.19161987,0.2,0.43557495,-14.1166162
6228,53,163,333824,169.67532,24,0.0003,0.180615234,142.1743433,0.875290632,0.977558365,-0.002899877,1620,61.51387405,0.2,0.025678001,-14.10745911
6267,53,164,335872,170.69309,24,0.0003,0.316796875,155.4351984,0.878543437,0.976517465,0.04046783,1630,65.03366852,0.2,0.7338134,-14.12831496
6306,53,165,337920,175.22797,24,0.0003,0.179150391,155.6089068,0.880468726,0.978851801,-0.014170673,1640,61.63805389,0.2,0.023931785,-14.15543081
6345,53,166,339968,181.32082,24,0.0003,0.144970703,140.5068686,0.879113138,0.980822751,-0.006773468,1650,50.3178978,0.2,0.056758203,-14.15968867
6383,53,167,342016,182.46575,24,0.0003,0.197314453,133.6905403,0.879183769,0.982625585,-0.007183809,1660,57.82209015,0.2,0.020234348,-14.1489953
6421,53,168,344064,186.45274,24,0.0003,0.163769531,143.2465442,0.878312111,0.981365301,-0.001043635,1670,86.88526917,0.2,0.02993191,-14.14358624
6462,53,169,346112,191.06702,24,0.0003,0.161035156,140.0661184,0.877960205,0.981105758,-0.009859821,1680,82.95967865,0.2,0.016146535,-14.13477854
6501,53,170,348160,195.48412,24,0.0003,0.201074219,144.3966303,0.878154159,0.981119305,-0.001561904,1690,63.39768982,0.2,0.017431108,-14.12950676
6539,53,171,350208,197.46845,24,0.0003,0.182910156,142.0407832,0.87717241,0.981172908,-0.008924159,1700,73.10489655,0.2,0.036941618,-14.12475294
