time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss
820,23,846,-3570.88401,19680,24.0,1925.785888671875,19579,0.005619206000119448,0.9809445738792419,0.0003,84835.0
824,23,850,-3777.1968999999995,19776,24.0,1978.54541015625,19675,0.02981463074684143,0.9778733849525452,0.0003,316528.0
828,23,854,-3963.9804099999997,19872,24.0,1652.9927978515625,19771,0.02353288047015667,0.9779167175292969,0.0003,334097.9375
832,23,858,-4127.98704,19968,24.0,1705.220703125,19867,0.002649906789883971,0.9786843061447144,0.0003,138821.0
836,23,863,-4278.7913,20064,24.0,2320.941650390625,19963,0.007172598969191313,0.9825344681739807,0.0003,157681.53125
840,23,868,-4456.44311,20160,24.0,1877.78662109375,20059,0.012279985472559929,0.982193112373352,0.0003,335913.4375
844,23,872,-4625.34194,20256,24.0,1817.7113037109375,20155,-0.019879823550581932,0.9806823134422302,0.0003,127957.5546875
848,23,876,-4809.708600000001,20352,24.0,2109.03369140625,20251,-0.002208883408457041,0.9892844557762146,0.0003,85349.3984375
852,23,881,-4971.28553,20448,24.0,2310.93408203125,20347,0.004574720747768879,0.989220380783081,0.0003,173543.59375
856,23,885,-5141.67212,20544,24.0,2256.846435546875,20443,-0.00845550186932087,0.9904778599739075,0.0003,371179.3125
860,23,890,-5356.658119999999,20640,24.0,1799.493896484375,20539,0.004275497980415821,0.9935144782066345,0.0003,158829.78125
864,23,894,-5606.16625,20736,24.0,1711.4703369140625,20635,-0.0044594500213861465,0.9943161010742188,0.0003,68309.671875
868,23,898,-5869.376400000001,20832,24.0,2036.75048828125,20731,-0.0002451622567605227,0.9990369081497192,0.0003,97722.5
872,23,902,-6124.870989999999,20928,24.0,2309.52490234375,20827,-2.3864597096689977e-05,1.000056266784668,0.0003,74930.7734375
876,23,906,-6406.934649999999,21024,24.0,2138.543701171875,20923,0.0007717589614912868,1.0084961652755737,0.0003,159018.03125
880,23,910,-6701.52488,21120,24.0,1974.401123046875,21019,0.004536692053079605,1.0119832754135132,0.0003,101407.5546875
884,23,915,-6958.70876,21216,24.0,1933.6048583984375,21115,0.018719160929322243,1.0185697078704834,0.0003,90087.375
