time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/is_line_search_success,train/learning_rate,train/explained_variance,train/policy_objective,train/value_loss,train/n_updates,train/kl_divergence_loss,train/std
6763,24.0,167,50,601.84445,342016,1.0,0.001,0.97346580773592,0.07072125375270844,595.4597824096679,166,0.007722524926066399,1.2568368911743164
6803,24.0,168,50,603.62714,344064,1.0,0.001,0.9735611528158188,0.061106424778699875,605.1452024459838,167,0.006625818088650703,1.2532044649124146
6843,24.0,169,50,603.40679,346112,1.0,0.001,0.9736103676259518,0.045201245695352554,579.5714948654174,168,0.006639975123107433,1.2554455995559692
6884,24.0,170,50,603.45534,348160,1.0,0.001,0.9734189007431269,0.08312057703733444,577.9272701263428,169,0.007837507873773575,1.2570877075195312
6926,24.0,171,50,604.12617,350208,1.0,0.001,0.9745582323521376,0.07230512797832489,580.0671644210815,170,0.006663900334388018,1.2585245370864868
6967,24.0,172,50,603.2253099999999,352256,1.0,0.001,0.9749328941106796,0.05157608538866043,595.0018676757812,171,0.006365926470607519,1.264748454093933
7008,24.0,173,50,603.8283100000001,354304,1.0,0.001,0.9748498126864433,0.07110398262739182,610.0800718307495,172,0.006700204219669104,1.260378122329712
7048,24.0,174,50,602.4886700000001,356352,1.0,0.001,0.9711598083376884,0.05508997663855553,614.0665264129639,173,0.007063035387545824,1.2481924295425415
7090,24.0,175,50,602.74479,358400,1.0,0.001,0.9745547268539667,0.036030035465955734,588.5601011276245,174,0.006899864878505468,1.2406407594680786
7129,24.0,176,50,602.7123200000001,360448,1.0,0.001,0.9745182618498802,0.04847514256834984,578.5424299240112,175,0.006542060058563948,1.2440727949142456
7166,24.0,177,50,603.6897899999999,362496,1.0,0.001,0.9745495356619358,0.059984173625707626,596.2141674041748,176,0.006091554183512926,1.239827036857605
7210,24.0,178,50,603.62273,364544,1.0,0.001,0.9737771525979042,0.07418366521596909,567.4876653671265,177,0.007377880625426769,1.2455002069473267
7252,24.0,179,50,605.0389200000001,366592,1.0,0.001,0.9712121319025755,0.06836242973804474,583.0159286499023,178,0.008685198612511158,1.2569395303726196
7294,24.0,180,50,604.26342,368640,1.0,0.001,0.9747043326497078,0.057682644575834274,577.9710977554321,179,0.007605258841067553,1.2432233095169067
7334,24.0,181,50,604.27735,370688,1.0,0.001,0.9742859452962875,0.08030714094638824,596.2874921798706,180,0.007997788488864899,1.239109992980957
7373,24.0,182,50,605.2568799999999,372736,1.0,0.001,0.9746395628899336,0.08165319263935089,584.5223993301391,181,0.007497744169086218,1.240192174911499
7413,24.0,183,50,604.9534199999999,374784,1.0,0.001,0.974160673096776,0.08186079561710358,592.0588083267212,182,0.009459782391786575,1.235775351524353
7454,24.0,184,50,605.46962,376832,1.0,0.001,0.9728900790214539,0.058873988687992096,602.0787069320679,183,0.008269069716334343,1.2333494424819946
7495,24.0,185,50,606.3888099999999,378880,1.0,0.001,0.9730429537594318,0.06227739155292511,602.0465761184693,184,0.006857205647975206,1.2312973737716675
7536,24.0,186,50,604.40579,380928,1.0,0.001,0.9748965073376894,0.05904515087604523,575.9975656509399,185,0.007089256774634123,1.2257122993469238
7577,24.0,187,50,604.6278699999999,382976,1.0,0.001,0.9743310883641243,0.049690134823322296,599.4755584716797,186,0.008620494045317173,1.2192035913467407
7619,24.0,188,50,603.5999400000001,385024,1.0,0.001,0.9727270323783159,0.04571207985281944,620.5040590286255,187,0.006057891063392162,1.2248455286026
7662,24.0,189,50,605.8724299999999,387072,1.0,0.001,0.9731910601258278,0.06282269954681396,596.8201589584351,188,0.006960889790207148,1.2260899543762207
7704,24.0,190,50,605.88259,389120,1.0,0.001,0.9744283501058817,0.059991613030433655,581.978470993042,189,0.007786562666296959,1.2194892168045044
7746,24.0,191,50,605.86591,391168,1.0,0.001,0.9731917548924685,0.06502055376768112,589.2101716995239,190,0.007067851256579161,1.217106819152832
7784,24.0,192,50,604.0968700000001,393216,1.0,0.001,0.9748790767043829,0.05817734822630882,579.3245658874512,191,0.0075029730796813965,1.2150017023086548
7828,24.0,193,50,606.5743300000001,395264,1.0,0.001,0.9726608786731958,0.04835968837141991,607.8730230331421,192,0.008154830895364285,1.2146350145339966
7869,24.0,194,50,606.26925,397312,1.0,0.001,0.9734146762639284,0.07191816717386246,568.5220382690429,193,0.008173155598342419,1.2066768407821655
7910,24.0,195,50,606.48333,399360,1.0,0.001,0.9749855399131775,0.03311461582779884,565.096287727356,194,0.00785104837268591,1.2066874504089355
7953,24.0,196,50,606.6637400000001,401408,1.0,0.001,0.9749549999833107,0.05916852876543999,573.0657676696777,195,0.009652436710894108,1.2007139921188354
7994,24.0,197,50,607.7137100000001,403456,1.0,0.001,0.9732918217778206,0.07790740579366684,631.5359157562256,196,0.007252964656800032,1.2045881748199463
8036,24.0,198,50,607.48573,405504,1.0,0.001,0.9727200958877802,0.07212759554386139,575.8090215682984,197,0.008391845971345901,1.203752875328064
8076,24.0,199,50,607.4370299999999,407552,1.0,0.001,0.9759897626936436,0.04879603534936905,555.3016002655029,198,0.007101834286004305,1.2023097276687622
8117,24.0,200,50,607.6724499999999,409600,1.0,0.001,0.9753396455198526,0.05297093093395233,565.8541379928589,199,0.008310318924486637,1.1954052448272705
8157,24.0,201,50,607.2098199999999,411648,1.0,0.001,0.9750165678560734,0.07259708642959595,578.7634851455689,200,0.007160303182899952,1.190905213356018
8195,24.0,202,50,608.04942,413696,1.0,0.001,0.9750483110547066,0.08660639077425003,570.891279411316,201,0.008977779187262058,1.1931124925613403
8236,24.0,203,50,607.84426,415744,1.0,0.001,0.9753282498568296,0.04859166592359543,566.4264469146729,202,0.008100626058876514,1.190242886543274
8278,24.0,204,50,607.27522,417792,1.0,0.001,0.9750171490013599,0.06805994361639023,566.9534915924072,203,0.007062776479870081,1.1801507472991943
