time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/policy_gradient_loss,train/clip_range
48,7552,364544,24.0,178,181.04449,0.0003,0.8924676328897476,518.8844535827636,0.09501953125,0.941693902015686,-14.930074077844619,1770,232.8482666015625,0.008956641,-0.005116647676913999,0.2
48,7597,366592,24.0,179,185.96972000000002,0.0003,0.8910732567310333,543.1110706806182,0.116357421875,0.9396924376487732,-14.899258279800415,1780,320.0216369628906,0.008949826,-0.002441532752709463,0.2
48,7640,368640,24.0,180,188.90057999999996,0.0003,0.8960633277893066,541.4469500541687,0.1294921875,0.9375013709068298,-14.875207576155663,1790,320.4619445800781,0.012969275,-0.010251245929975995,0.2
48,7687,370688,24.0,181,190.88941000000003,0.0003,0.9019090458750725,542.8686213970184,0.110546875,0.9379394054412842,-14.865007972717285,1800,491.14324951171875,0.009517699,-0.007481587513757404,0.2
48,7733,372736,24.0,182,194.77843999999996,0.0003,0.9060339853167534,544.7998661994934,0.10703125,0.9371772408485413,-14.863092410564423,1810,367.90032958984375,0.0073232846,-0.006981774019368459,0.2
48,7780,374784,24.0,183,194.56724999999997,0.0003,0.9055762887001038,532.8298799037933,0.136474609375,0.9392871260643005,-14.865873327851295,1820,319.1139831542969,0.024777282,-0.00806798901903676,0.2
48,7823,376832,24.0,184,197.0809,0.0003,0.9211498871445656,449.90720703601835,0.09013671875,0.9397135376930237,-14.881597143411636,1830,178.8651885986328,0.011419205,-0.005291562709317077,0.2
48,7865,378880,24.0,185,200.95831,0.0003,0.9189236387610435,458.0548418998718,0.1375,0.9400596022605896,-14.882487174868583,1840,190.35748291015625,0.013512548,-0.009346666010969784,0.2
48,7910,380928,24.0,186,203.4163,0.0003,0.9217244386672974,455.97013120651246,0.125390625,0.9415856003761292,-14.894528824090958,1850,227.5112762451172,0.0072921887,-0.007482500538753811,0.2
48,7953,382976,24.0,187,207.68320999999997,0.0003,0.9299545660614967,422.8692244052887,0.103857421875,0.9414074420928955,-14.900669610500335,1860,229.97071838378906,0.00991831,-0.00555306352180196,0.2
48,7996,385024,24.0,188,211.92918999999998,0.0003,0.9244013875722885,468.36394717693327,0.152880859375,0.9423221945762634,-14.903580325841904,1870,268.42431640625,0.021992221,-0.00830388179019792,0.2
48,8039,387072,24.0,189,212.29723,0.0003,0.9315668568015099,438.85954613685607,0.113427734375,0.9408460855484009,-14.897111335396767,1880,83.10527038574219,0.010498196,-0.005040925672801677,0.2
48,8085,389120,24.0,190,215.16979000000003,0.0003,0.9356968253850937,405.9128389835358,0.128759765625,0.94140625,-14.890305078029632,1890,125.13299560546875,0.009831826,-0.008494568627793343,0.2
48,8131,391168,24.0,191,217.81894000000003,0.0003,0.940580740571022,375.55717639923097,0.128369140625,0.94057697057724,-14.887740832567214,1900,132.8190155029297,0.012884202,-0.006668125960277394,0.2
48,8178,393216,24.0,192,217.85156999999992,0.0003,0.9429785832762718,367.7383692741394,0.11103515625,0.93975430727005,-14.880986252427101,1910,204.73565673828125,0.017976586,-0.0056407308060443025,0.2
48,8224,395264,24.0,193,223.24188000000007,0.0003,0.9426677636802197,357.5380965948105,0.14482421875,0.940517783164978,-14.880619978904724,1920,183.1116943359375,0.011840915,-0.008445809238764923,0.2
48,8268,397312,24.0,194,226.02243999999996,0.0003,0.9415987133979797,387.79711270332336,0.179248046875,0.9409246444702148,-14.885995534062385,1930,128.76234436035156,0.012246282,-0.01684232941333903,0.2
48,8317,399360,24.0,195,232.70860999999996,0.0003,0.9491268657147884,351.0356461524963,0.157763671875,0.9406917691230774,-14.886978623270988,1940,191.3568878173828,0.010315001,-0.010649069480132311,0.2
48,8360,401408,24.0,196,235.15733999999998,0.0003,0.9431850388646126,379.05644512176514,0.06875,0.9387090802192688,-14.872054770588875,1950,203.37661743164062,0.006996348,-0.005111650319304317,0.2
47,8407,403456,24.0,197,243.58686999999998,0.0003,0.9444900341331959,392.541215801239,0.127197265625,0.9388620853424072,-14.860558402538299,1960,180.25665283203125,0.009881703,-0.008939283766085281,0.2
47,8448,405504,24.0,198,246.42310999999998,0.0003,0.9471556395292282,403.1046845197678,0.10947265625,0.9387214183807373,-14.862171247601509,1970,228.6077423095703,0.0069110035,-0.003729918370663654,0.2
47,8495,407552,24.0,199,249.84096999999997,0.0003,0.9481651596724987,380.540389251709,0.103955078125,0.9403564929962158,-14.866852858662606,1980,197.72354125976562,0.008949655,-0.004556006150960456,0.2
47,8537,409600,24.0,200,251.90422,0.0003,0.9500714391469955,371.96470925807955,0.128857421875,0.9396933913230896,-14.87405658364296,1990,234.40463256835938,0.014167678,-0.0037337607478548306,0.2
47,8582,411648,24.0,201,258.75974,0.0003,0.9543312564492226,343.809660577774,0.12998046875,0.9400209188461304,-14.868706694245338,2000,156.81578063964844,0.009622773,-0.004207022392074577,0.2
