time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/is_line_search_success,train/kl_divergence_loss,train/learning_rate,train/policy_objective,train/explained_variance,train/n_updates,train/std,train/value_loss
327680,24.0,609.05734,160,6055,54,1.0,0.009402397088706493,0.001,0.04427972435951233,0.9947462198324502,159,1.0570107698440552,129.4861981868744
329728,24.0,609.09293,161,6093,54,1.0,0.00900603923946619,0.001,0.06095222383737564,0.9945280537940562,160,1.0547451972961426,126.1890655517578
331776,24.0,609.2500100000001,162,6130,54,1.0,0.008902807720005512,0.001,0.04908590391278267,0.9939489476382732,161,1.052825689315796,129.86803755760192
333824,24.0,608.81047,163,6168,54,1.0,0.008759060874581337,0.001,0.07198932021856308,0.9928972655907273,162,1.0524742603302002,130.19603943824768
335872,24.0,608.55983,164,6205,54,1.0,0.007355464622378349,0.001,0.0696335881948471,0.99424784258008,163,1.053954839706421,124.40203018188477
337920,24.0,608.6106100000001,165,6243,54,1.0,0.007409220561385155,0.001,0.055575404316186905,0.9934906102716923,164,1.0502653121948242,130.74259538650512
339968,24.0,609.0045200000001,166,6281,54,1.0,0.008869537152349949,0.001,0.0650348961353302,0.9948249259032309,165,1.0525110960006714,130.5779974937439
342016,24.0,609.4526500000001,167,6318,54,1.0,0.008148889057338238,0.001,0.06620149314403534,0.9941929546184838,166,1.0537735223770142,128.73646836280824
344064,24.0,609.82385,168,6355,54,1.0,0.008792396634817123,0.001,0.07407751679420471,0.9940935289487243,167,1.0531246662139893,122.73525857925415
346112,24.0,609.8776799999999,169,6392,54,1.0,0.0064316196367144585,0.001,0.03193458169698715,0.9944196972064674,168,1.0540038347244263,125.53344902992248
348160,24.0,609.8622300000001,170,6430,54,1.0,0.006833977531641722,0.001,0.0527477003633976,0.9943648027256131,169,1.05409574508667,124.01277904510498
350208,24.0,609.62087,171,6467,54,1.0,0.006789214909076691,0.001,0.05640580132603645,0.994907601736486,170,1.0555135011672974,128.1237332344055
352256,24.0,609.5222,172,6504,54,1.0,0.007501800078898668,0.001,0.08418499678373337,0.9950159671716392,171,1.0549556016921997,116.4614414215088
354304,24.0,609.186,173,6542,54,1.0,0.007816473953425884,0.001,0.06851469725370407,0.9943340215831995,172,1.0551015138626099,122.3399290561676
356352,24.0,608.9904000000001,174,6579,54,1.0,0.007885118946433067,0.001,0.04171222448348999,0.9950802358798683,173,1.0577633380889893,121.51654725074768
358400,24.0,608.5780300000001,175,6616,54,1.0,0.007635635323822498,0.001,0.06416697800159454,0.9949740306474268,174,1.0603636503219604,128.32033395767212
360448,24.0,608.46575,176,6654,54,1.0,0.008527329191565514,0.001,0.05611887574195862,0.9939833576790988,175,1.059365153312683,129.04258823394775
362496,24.0,608.7660900000001,177,6691,54,1.0,0.008771729655563831,0.001,0.05168263614177704,0.9945831196382642,176,1.0580672025680542,122.64356698989869
364544,24.0,609.35173,178,6728,54,1.0,0.009025014005601406,0.001,0.07750725001096725,0.9950866298750043,177,1.0577458143234253,121.3423171043396
366592,24.0,609.07473,179,6765,54,1.0,0.008878933265805244,0.001,0.04942364990711212,0.9941348913125694,178,1.0581896305084229,123.19519052505493
368640,24.0,609.51526,180,6803,54,1.0,0.009613681584596634,0.001,0.06550884991884232,0.995067139621824,179,1.0595570802688599,119.34136991500854
370688,24.0,609.78079,181,6840,54,1.0,0.009326697327196598,0.001,0.07155289500951767,0.9945600549690425,180,1.0564837455749512,117.77328567504883
372736,24.0,609.7754399999999,182,6878,54,1.0,0.008884284645318985,0.001,0.0781022310256958,0.9942319053225219,181,1.0580488443374634,122.82986326217652
